Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0402_1005Metric",144.041118,-102.175483,180.000000,top
"C2","4.7u","C_0402_1005Metric",143.541118,-99.655483,-90.000000,top
"C3","4.7u","C_0402_1005Metric",144.541118,-99.655483,-90.000000,top
"C4","100n","C_0402_1005Metric",152.980000,-88.000000,0.000000,top
"C5","15p","C_0402_1005Metric",127.750000,-95.270000,-90.000000,top
"C6","15p","C_0402_1005Metric",127.750000,-97.500000,90.000000,top
"C7","100nF","C_0402_1005Metric",153.000000,-102.400000,0.000000,top
"C8","4.7uF","C_0402_1005Metric",156.750000,-106.250000,-90.000000,top
"C9","100n","C_0402_1005Metric",152.000000,-103.500000,0.000000,top
"C10","4.7uF","C_0402_1005Metric",156.750000,-109.000000,-90.000000,top
"C11","100n","C_0402_1005Metric",137.250000,-104.000000,-90.000000,top
"C12","100n","C_0402_1005Metric",129.750000,-98.000000,180.000000,top
"C13","100n","C_0402_1005Metric",138.750000,-89.250000,90.000000,top
"C14","100n","C_0402_1005Metric",146.500000,-94.250000,0.000000,top
"C15","100n","C_0402_1005Metric",146.500000,-93.250000,0.000000,top
"C16","100n","C_0402_1005Metric",143.250000,-92.000000,90.000000,top
"C17","100n","C_0402_1005Metric",136.250000,-104.000000,-90.000000,top
"C18","100n","C_0402_1005Metric",135.500000,-89.250000,90.000000,top
"C19","100n","C_0402_1005Metric",139.750000,-89.250000,90.000000,top
"C20","100n","C_0402_1005Metric",129.750000,-95.500000,180.000000,top
"C21","100n","C_0402_1005Metric",129.750000,-94.000000,180.000000,top
"C22","100n","C_0402_1005Metric",131.000000,-103.000000,180.000000,top
"C23","100n","C_0402_1005Metric",143.750000,-80.750000,90.000000,top
"C24","100n","C_0402_1005Metric",142.480000,-103.250000,0.000000,top
"C25","100n","C_0402_1005Metric",141.730000,-104.250000,0.000000,top
"D1","LED","LED_0603_1608Metric",148.600000,-113.250000,180.000000,top
"D2","WS2812B-2020","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.500000,-86.000000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",155.000000,-96.000000,90.000000,top
"J2","Conn_01x03_Pin","PinSocket_1x03_P2.54mm_Vertical",123.975000,-108.540000,180.000000,top
"J3","HDMI_A","HDMI_A_Amphenol_10029449-x01xLF_Horizontal",140.000000,-73.000000,180.000000,top
"J4","Conn_02x09_Odd_Even","PinSocket_2x09_P2.54mm_Horizontal",129.300000,-120.625000,90.000000,top
"L1","3.3uH","RP235x_Inductor",146.541118,-99.175483,-90.000000,top
"R1","27R","R_0402_1005Metric",146.041118,-102.175483,180.000000,top
"R2","1k","R_0805_2012Metric",152.500000,-85.000000,90.000000,top
"R3","1k","R_0402_1005Metric",152.500000,-81.250000,90.000000,top
"R4","1k","R_0402_1005Metric",126.000000,-81.000000,90.000000,top
"R5","1k","R_0402_1005Metric",129.750000,-97.000000,180.000000,top
"R6","27R","R_0402_1005Metric",146.500000,-95.500000,0.000000,top
"R7","27R","R_0402_1005Metric",146.500000,-96.500000,0.000000,top
"R8","5.1k","R_0402_1005Metric",149.250000,-97.750000,90.000000,top
"R9","5.1k","R_0402_1005Metric",149.250000,-93.759999,-90.000000,top
"R10","5.1k","R_0402_1005Metric",153.000000,-89.500000,180.000000,top
"R11","1k","R_0402_1005Metric",145.500000,-110.750000,90.000000,top
"R12","270R","R_0402_1005Metric",134.250000,-82.500000,90.000000,top
"R13","270R","R_0402_1005Metric",135.250000,-82.500000,90.000000,top
"R14","270R","R_0402_1005Metric",136.250000,-82.500000,90.000000,top
"R15","270R","R_0402_1005Metric",137.250000,-82.500000,90.000000,top
"R16","270R","R_0402_1005Metric",138.250000,-82.500000,90.000000,top
"R17","270R","R_0402_1005Metric",139.250000,-82.500000,90.000000,top
"R18","270R","R_0402_1005Metric",140.250000,-82.500000,90.000000,top
"R19","270R","R_0402_1005Metric",141.250000,-82.500000,90.000000,top
"R20","5.1k","R_0402_1005Metric",143.009999,-86.000000,180.000000,top
"R21","5.1k","R_0402_1005Metric",143.009999,-85.000000,180.000000,top
"R22","5.1k","R_0402_1005Metric",130.009999,-104.250000,180.000000,top
"R23","5.1k","R_0402_1005Metric",130.009999,-105.250000,180.000000,top
"SW1","SMD_Pushbutton","Panasonic_EVQPUJ_EVQPUA",156.500000,-82.000000,-90.000000,top
"SW2","SMD_Pushbutton","Panasonic_EVQPUJ_EVQPUA",122.500000,-82.000000,90.000000,top
"U1","RP2350B-QFN80","QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias",137.000000,-96.637500,-90.000000,top
"U2","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",148.500000,-85.000000,-90.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",151.500000,-108.000000,180.000000,top
"Y1","ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",125.000000,-95.900000,90.000000,top
