Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0402,3,4.7u,
"C10, C8",0402,2,4.7uF,
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C4, C9",0402,17,100n,
"C5, C6",0402,2,15p,
D1,0603,1,LED,
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B-2020,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,1,HDMI_A,
J4,PinSocket_2x09_P2.54mm_Horizontal,1,Conn_02x09_Odd_Even,
L1,RP235x_Inductor,1,3.3uH,
"R1, R6, R7",0402,3,27R,
"R11, R3, R4, R5",0402,4,1k,
"R12, R13, R14, R15, R16, R17, R18, R19",0402,8,270R,
"R20, R21, R22, R23, R8, R9",0402,6,5.1k,
"SW1, SW2",Panasonic_EVQPUJ_EVQPUA,2,SMD_Pushbutton,
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,10,TestPoint,
U1,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350B-QFN80,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
